Dias,Numero de infectados,Casos novos nesse dia,Mortes,Imunes(curados),Imunidade de manada,Proporcao de contagio,Proporcao de nao infectados,Valores de R,Param_name,Params
183,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
184,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
185,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
186,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
187,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
188,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
189,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
190,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
191,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
192,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
193,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
194,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
195,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
196,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
197,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
198,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
199,0,0,2016,96492,0.984773024167211,98508,0.01492,0.0,,
